Id,SalePrice
1461,133584.02
1462,153580.64
1463,186113.22
1464,177258.62
1465,196665.16
1466,173239.92
1467,165740.25
1468,173287.45
1469,196908.27
1470,118443.93
1471,193060.16
1472,100514.766
1473,98945.984
1474,156176.84
1475,145456.39
1476,342725.88
1477,246474.55
1478,292778.7
1479,252834.84
1480,398485.12
1481,340284.88
1482,203138.89
1483,173560.4
1484,184371.94
1485,172227.73
1486,195100.53
1487,344378.38
1488,242665.34
1489,219024.77
1490,193459.64
1491,192718.2
1492,92501.42
1493,174161.38
1494,300209.53
1495,313918.12
1496,268898.22
1497,187578.02
1498,150758.8
1499,150271.23
1500,155738.22
1501,177182.27
1502,178671.61
1503,318827.62
1504,222169.19
1505,212310.53
1506,181690.44
1507,217074.31
1508,217989.9
1509,165912.55
1510,151444.92
1511,151033.95
1512,177135.48
1513,145497.77
1514,151179.62
1515,202926.95
1516,164453.78
1517,158499.2
1518,120638.88
1519,219512.45
1520,140577.14
1521,142759.14
1522,161658.98
1523,113433.445
1524,120665.6
1525,119180.67
1526,126692.34
1527,103254.984
1528,130853.266
1529,144625.17
1530,175856.98
1531,127747.13
1532,111820.59
1533,148472.0
1534,118810.664
1535,149989.84
1536,111890.99
1537,72680.016
1538,189699.97
1539,204637.16
1540,96558.89
1541,142865.72
1542,135371.94
1543,202299.89
1544,92651.93
1545,108325.836
1546,122351.48
1547,136483.25
1548,135755.73
1549,120497.48
1550,149972.45
1551,124330.68
1552,166665.75
1553,154010.4
1554,120838.54
1555,176023.52
1556,108625.7
1557,117856.62
1558,98311.125
1559,101914.37
1560,155690.9
1561,156412.17
1562,128300.64
1563,121247.03
1564,167304.5
1565,155072.28
1566,224878.89
1567,73844.48
1568,223489.1
1569,146736.95
1570,129714.57
1571,140684.53
1572,146243.19
1573,227652.5
1574,100319.82
1575,203898.92
1576,222495.9
1577,216614.98
1578,147917.52
1579,142772.48
1580,189028.62
1581,147525.06
1582,127869.91
1583,316568.94
1584,232778.78
1585,138862.44
1586,72814.71
1587,102603.58
1588,163914.17
1589,113398.22
1590,143447.45
1591,96359.47
1592,123567.39
1593,120998.26
1594,150354.52
1595,120433.83
1596,233411.34
1597,156213.23
1598,191830.52
1599,185617.6
1600,196324.47
1601,68315.305
1602,127254.43
1603,100744.86
1604,273830.22
1605,246113.58
1606,173762.6
1607,169410.97
1608,218801.7
1609,204911.77
1610,160327.73
1611,143242.27
1612,159270.69
1613,159947.19
1614,121479.6
1615,80410.31
1616,73672.32
1617,81722.31
1618,127795.055
1619,143163.92
1620,147029.77
1621,140157.53
1622,147718.0
1623,267787.53
1624,211857.25
1625,133497.52
1626,177618.06
1627,190600.97
1628,278238.44
1629,179958.27
1630,302981.25
1631,224394.38
1632,233953.64
1633,172575.06
1634,189311.72
1635,181935.14
1636,160954.61
1637,171211.69
1638,220999.08
1639,184748.7
1640,233373.11
1641,181261.39
1642,222060.05
1643,227556.08
1644,230083.44
1645,178063.3
1646,157413.61
1647,160694.69
1648,140723.73
1649,146042.75
1650,115203.18
1651,121652.71
1652,92904.945
1653,102332.34
1654,160601.12
1655,157791.73
1656,151664.31
1657,155990.53
1658,155997.42
1659,155604.44
1660,147934.25
1661,396328.16
1662,362860.2
1663,344287.75
1664,387349.5
1665,264931.3
1666,299049.06
1667,359564.25
1668,311769.16
1669,293032.75
1670,323974.75
1671,243446.27
1672,377510.8
1673,292623.5
1674,248541.81
1675,191039.25
1676,193462.02
1677,227552.92
1678,388047.5
1679,374398.12
1680,295384.47
1681,246387.1
1682,298516.56
1683,178758.16
1684,165614.31
1685,176910.9
1686,162115.08
1687,163838.83
1688,187824.92
1689,190496.23
1690,183141.36
1691,177477.06
1692,266694.53
1693,169841.42
1694,186582.73
1695,164506.16
1696,259258.72
1697,175774.06
1698,357237.53
1699,326964.12
1700,257444.81
1701,251196.6
1702,236575.92
1703,248765.62
1704,291277.0
1705,249262.33
1706,355373.2
1707,236465.53
1708,222874.64
1709,255222.97
1710,229456.77
1711,258887.52
1712,234764.06
1713,235368.31
1714,217495.42
1715,203601.78
1716,171334.77
1717,174893.3
1718,143080.53
1719,202069.75
1720,243741.67
1721,165035.16
1722,125203.5
1723,154990.94
1724,226079.86
1725,238988.62
1726,185446.92
1727,169887.7
1728,180004.2
1729,158104.98
1730,162807.9
1731,122613.164
1732,138982.28
1733,120636.0
1734,131301.05
1735,137123.34
1736,120151.695
1737,341203.72
1738,221807.25
1739,231864.47
1740,168252.81
1741,187203.47
1742,176816.77
1743,179769.19
1744,281293.2
1745,239344.3
1746,268068.7
1747,215001.56
1748,197335.69
1749,162562.36
1750,151936.9
1751,220874.03
1752,118779.92
1753,146758.8
1754,212419.62
1755,167562.11
1756,123470.65
1757,122426.58
1758,152687.77
1759,179245.0
1760,163146.47
1761,146552.27
1762,150200.92
1763,162859.23
1764,120935.42
1765,158839.55
1766,176717.58
1767,203034.31
1768,146393.58
1769,105792.23
1770,147602.47
1771,140392.55
1772,139555.1
1773,146492.47
1774,139377.34
1775,138131.38
1776,124705.69
1777,118642.07
1778,139125.61
1779,122926.44
1780,181106.14
1781,133321.62
1782,104431.14
1783,134166.89
1784,101147.77
1785,117337.32
1786,159814.8
1787,161037.25
1788,64546.355
1789,109691.63
1790,90289.9
1791,170478.03
1792,158773.48
1793,142665.97
1794,141251.39
1795,145418.78
1796,126851.44
1797,122294.6
1798,128773.04
1799,119915.016
1800,130706.305
1801,126797.875
1802,140898.16
1803,155151.4
1804,141957.53
1805,143946.94
1806,123363.75
1807,147432.67
1808,121706.766
1809,129405.05
1810,146662.69
1811,109473.28
1812,108544.19
1813,121372.09
1814,99151.7
1815,58791.645
1816,109787.54
1817,108516.88
1818,125259.43
1819,122911.375
1820,69801.93
1821,123536.734
1822,146331.89
1823,62034.727
1824,139829.92
1825,143458.5
1826,105190.445
1827,102042.29
1828,137426.16
1829,114104.14
1830,136824.88
1831,159366.28
1832,98625.61
1833,139459.94
1834,130434.65
1835,172156.19
1836,128198.74
1837,97481.82
1838,133812.44
1839,86970.87
1840,176273.86
1841,156246.48
1842,97609.3
1843,144708.7
1844,139230.34
1845,138630.1
1846,151263.53
1847,164032.52
1848,73908.164
1849,115760.18
1850,130395.305
1851,140674.61
1852,137412.78
1853,145112.0
1854,178352.28
1855,154081.58
1856,212073.38
1857,170607.7
1858,136246.97
1859,118364.836
1860,154917.92
1861,118065.01
1862,224043.94
1863,221941.95
1864,221941.95
1865,330974.03
1866,307386.5
1867,246430.47
1868,278832.75
1869,198495.77
1870,259019.86
1871,253041.2
1872,169741.45
1873,218297.22
1874,141588.45
1875,194524.06
1876,195665.83
1877,205755.62
1878,215877.12
1879,139218.9
1880,134294.11
1881,218667.61
1882,257516.64
1883,188020.75
1884,209077.58
1885,258438.1
1886,291957.8
1887,199310.44
1888,258320.05
1889,161819.84
1890,141261.98
1891,142583.55
1892,104412.11
1893,142703.23
1894,126266.85
1895,146428.14
1896,121623.88
1897,114194.84
1898,119559.586
1899,142409.11
1900,166837.95
1901,175192.47
1902,119107.055
1903,197940.72
1904,136309.61
1905,174618.94
1906,158598.16
1907,184678.11
1908,127785.79
1909,140468.27
1910,128828.66
1911,190164.48
1912,255556.81
1913,151893.67
1914,70010.28
1915,323238.2
1916,82791.25
1917,260903.08
1918,138484.25
1919,159393.89
1920,140289.16
1921,373864.9
1922,295484.4
1923,212572.28
1924,265514.97
1925,240419.14
1926,381740.56
1927,147288.5
1928,154664.16
1929,127289.48
1930,151778.97
1931,138608.55
1932,140533.0
1933,176007.39
1934,186317.39
1935,178268.44
1936,189751.25
1937,184560.89
1938,166125.3
1939,266104.62
1940,193794.3
1941,178752.94
1942,192174.8
1943,202866.42
1944,327801.62
1945,374244.97
1946,154396.17
1947,295679.1
1948,162982.52
1949,272077.0
1950,182266.34
1951,262252.3
1952,276447.28
1953,170645.52
1954,213258.66
1955,124147.7
1956,227677.08
1957,161629.83
1958,316959.25
1959,135409.0
1960,110947.31
1961,123903.375
1962,95396.164
1963,104663.086
1964,112873.5
1965,157124.42
1966,146634.58
1967,293725.34
1968,375590.1
1969,379671.97
1970,386883.94
1971,359377.28
1972,352316.8
1973,261660.67
1974,323373.12
1975,380944.53
1976,264974.1
1977,367996.2
1978,382161.25
1979,298765.97
1980,192744.6
1981,328261.94
1982,239776.55
1983,211902.81
1984,165561.38
1985,209206.52
1986,206059.22
1987,193622.34
1988,178474.62
1989,178935.48
1990,204180.75
1991,224070.5
1992,215039.12
1993,164366.08
1994,229584.8
1995,186050.3
1996,243078.05
1997,323545.25
1998,349988.56
1999,254010.47
2000,318017.4
2001,263962.12
2002,241634.66
2003,259678.77
2004,257841.14
2005,257435.52
2006,216448.31
2007,249736.92
2008,224627.23
2009,195216.94
2010,188783.86
2011,151939.42
2012,181476.64
2013,180506.06
2014,196771.7
2015,200807.44
2016,202726.92
2017,211154.44
2018,129337.55
2019,132479.0
2020,124163.79
2021,118248.96
2022,171164.22
2023,160571.61
2024,212415.83
2025,309527.7
2026,181163.84
2027,153039.7
2028,145862.39
2029,177937.11
2030,275798.8
2031,215464.78
2032,257392.58
2033,252612.89
2034,165469.64
2035,200851.47
2036,159674.4
2037,164044.14
2038,266921.78
2039,223312.19
